year,jday,time,Tair,RH,Wind,SolRad,Rain,Tsoil
2010,278,0:00,14.3,63.4,3,0,0,17.4
2010,278,1:00,14.2,63.3,2.7,0,0,17.3
2010,278,2:00,14.3,68.8,3,0,0,17.3
2010,278,3:00,14.3,67.5,3.1,0,0,17.3
2010,278,4:00,14.3,65,3.1,0,0,17.3
2010,278,5:00,14.3,64.2,2.8,0,0,17.3
2010,278,6:00,14.4,63.8,3.4,0,0,17.2
2010,278,7:00,14.7,67.8,3.2,27.78,0,17.2
2010,278,8:00,14.7,68.7,2.7,27.78,0,17.2
2010,278,9:00,14.1,76.7,2,27.78,0,17.1
2010,278,10:00,14.4,78.7,1.9,111.12,0,17.1
2010,278,11:00,15.8,66.8,2.5,222.24,0,17.1
2010,278,12:00,16.9,62.6,3.1,361.14,0,17.1
2010,278,13:00,16.6,61.1,3.5,333.36,0,17
2010,278,14:00,16.5,60.7,3.3,277.8,0,17
2010,278,15:00,16.8,59.8,3,138.9,0,17
2010,278,16:00,16.3,60.6,2.5,166.68,0,17
2010,278,17:00,15.1,68.5,1.7,55.56,0,17
2010,278,18:00,13.6,74,1.1,0,0,17
2010,278,19:00,12.9,77.6,1.1,0,0,17.1
2010,278,20:00,12.9,76.5,1.2,0,0,17.1
2010,278,21:00,12.5,77.9,0.8,0,0,17.1
2010,278,22:00,11.6,82.2,1,0,0,17
2010,278,23:00,10.8,84.8,1,0,0,17.1
2010,279,0:00,10.2,84.3,1.6,0,0,17.1
2010,279,1:00,9.8,84.3,2.1,0,0,17
2010,279,2:00,9.7,84,2.1,0,0,17
2010,279,3:00,9.6,83,2.2,0,0,17
2010,279,4:00,9.8,82.5,2.4,0,0,17
2010,279,5:00,9.4,83.5,2.6,0,0,16.9
2010,279,6:00,9.3,82.5,2.7,0,0,16.9
2010,279,7:00,11,78.3,2.3,138.9,0,16.8
2010,279,8:00,15.4,64.8,1,305.58,0,16.8
2010,279,9:00,17.4,57.6,1,388.92,0,16.7
2010,279,10:00,17,60.3,1.4,361.14,0,16.7
2010,279,11:00,17.9,57.6,1.6,611.16,0,16.6
2010,279,12:00,17.5,59,1.9,444.48,0,16.6
2010,279,13:00,17.7,59.6,1.8,388.92,0,16.6
2010,279,14:00,17.6,62,1.8,333.36,0,16.6
2010,279,15:00,17.3,66.7,2.1,166.68,0,16.5
2010,279,16:00,17.1,70,2.1,166.68,0,16.5
2010,279,17:00,16.2,74.8,1.8,27.78,0,16.6
2010,279,18:00,15.2,80,1.1,0,0,16.6
2010,279,19:00,14.9,81.9,1.1,0,0,16.6
2010,279,20:00,15.4,81.7,1.1,0,0,16.6
2010,279,21:00,15,84.7,0.9,0,0,16.6
2010,279,22:00,15.4,86.7,0.6,0,0.5,16.6
2010,279,23:00,15.3,92,0.8,0,2,16.7
2010,280,0:00,15.2,94,0.9,0,5,16.7
2010,280,1:00,15.2,94.2,1.4,0,7.5,16.6
2010,280,2:00,15.1,94.4,1.2,0,8.5,16.6
2010,280,3:00,15.2,94.8,1.1,0,9,16.6
2010,280,4:00,15.3,94.6,1.2,0,9.5,16.6
2010,280,5:00,15.3,93.3,2.2,0,9.5,16.6
2010,280,6:00,15.7,90,2.5,0,9.5,16.5
2010,280,7:00,16,87.9,2.3,55.56,9.5,16.5
2010,280,8:00,17.4,83.1,3.3,194.46,9.5,16.5
2010,280,9:00,19.3,73.9,4.1,305.58,9.5,16.4
2010,280,10:00,20.4,68.3,4.3,500.04,9.5,16.4
2010,280,11:00,21.4,56.3,4.8,583.38,9.5,16.4
2010,280,12:00,21.9,52.4,4.6,583.38,9.5,16.4
2010,280,13:00,21.7,52.9,4.3,416.7,9.5,16.4
2010,280,14:00,21.5,57.5,4.1,222.24,9.5,16.4
2010,280,15:00,21.7,58.4,3.9,305.58,9.5,16.5
2010,280,16:00,20.2,64.7,4.3,111.12,9.5,16.5
2010,280,17:00,19.1,68.8,3.3,55.56,9.5,16.5
2010,280,18:00,18.1,73.4,2,0,9.5,16.6
2010,280,19:00,17.6,76.5,2.3,0,9.5,16.6
2010,280,20:00,17.4,77.8,2.2,0,9.5,16.6
2010,280,21:00,17.6,72.8,2.4,0,9.5,16.6
2010,280,22:00,17.4,72.4,1.9,0,9.5,16.6
2010,280,23:00,16.6,75.5,0.9,0,9.5,16.7
2010,281,0:00,16.8,72.7,1.4,0,0,16.7
2010,281,1:00,16.5,82.3,2.4,0,0,16.7
2010,281,2:00,16.6,75.5,2.2,0,0,16.7
2010,281,3:00,16.2,79.3,1.4,0,0,16.7
2010,281,4:00,15.4,81.1,1.8,0,0,16.7
2010,281,5:00,15.1,84.3,1.1,0,0.5,16.7
2010,281,6:00,14.3,91.1,1.4,0,1.5,16.7
2010,281,7:00,14.2,92.5,0.6,0,2.5,16.7
2010,281,8:00,14.8,93.1,1.5,55.56,3,16.7
2010,281,9:00,15.7,90,1.8,111.12,3,16.7
2010,281,10:00,16.6,86.7,1.3,111.12,3,16.7
2010,281,11:00,17.1,81.8,1.1,83.34,3,16.7
2010,281,12:00,17.6,81.7,0.9,166.68,3,16.6
2010,281,13:00,18.5,70.5,1.3,138.9,3,16.6
2010,281,14:00,18.3,66.9,1.3,138.9,3,16.6
2010,281,15:00,16.9,71,1.6,55.56,3,16.6
2010,281,16:00,16.5,72.7,1.9,55.56,3,16.6
2010,281,17:00,16.4,76,1.1,27.78,3,16.6
2010,281,18:00,15.8,75.9,1.6,0,3,16.7
2010,281,19:00,15.7,79.3,1.7,0,3,16.7
2010,281,20:00,15.2,84.3,1,0,3,16.7
2010,281,21:00,15.2,85.1,1.5,0,3,16.6
2010,281,22:00,14.7,88.5,0.5,0,3,16.6
2010,281,23:00,14,90.5,0.4,0,3,16.7
2010,282,0:00,13.4,92.6,0.9,0,0,16.7
2010,282,1:00,14,93.1,0.8,0,0,16.7
2010,282,2:00,14.5,91.6,1.1,0,0,16.7
2010,282,3:00,14.7,91.3,0.6,0,0,16.7
2010,282,4:00,14.5,91.1,0.6,0,0,16.7
2010,282,5:00,14.3,90.8,0.6,0,0,16.7
2010,282,6:00,13.8,92.2,0.5,0,0,16.7
2010,282,7:00,14.5,88.8,0.8,138.9,0,16.7
2010,282,8:00,17.6,70.9,0.8,333.36,0,16.6
2010,282,9:00,17.6,72.7,1.5,305.58,0,16.6
2010,282,10:00,18.3,70.7,2.1,472.26,0,16.6
2010,282,11:00,18.8,66.7,2.2,333.36,0,16.6
2010,282,12:00,18.7,68.3,2.2,555.6,0,16.6
2010,282,13:00,19.6,66.4,2.5,472.26,0,16.5
2010,282,14:00,19.1,65.4,1.9,416.7,0,16.5
2010,282,15:00,19.2,64.9,2,361.14,0,16.6
